figure	relative_path	ftp_status	remote_path	remote_size_bytes	reuse_source_relative_path	figshare_url	notes
figure5	reproducibility/figure5/data/prot_mat_filtered.csv	uploaded	data/reproducibility/figure5/data/prot_mat_filtered.csv	32167462		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure6	reproducibility/figure6/data/ExpressionSet_GSE145128.rds	uploaded	data/reproducibility/figure6/data/ExpressionSet_GSE145128.rds	652372		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure6	reproducibility/figure6/data/250315_MTT_data_BN91.csv	uploaded	data/reproducibility/figure6/data/250315_MTT_data_BN91.csv	1308		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure6	reproducibility/figure6/data/250618_MTT_data_BN118.csv	uploaded	data/reproducibility/figure6/data/250618_MTT_data_BN118.csv	1375		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure6	reproducibility/figure6/data/250714_MTT_data_BN91.csv	uploaded	data/reproducibility/figure6/data/250714_MTT_data_BN91.csv	1666		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure6	reproducibility/figure6/data/250714_MTT_data_BN118.csv	uploaded	data/reproducibility/figure6/data/250714_MTT_data_BN118.csv	1819		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure6	reproducibility/figure6/data/250721_MTT_data_BN118.csv	uploaded	data/reproducibility/figure6/data/250721_MTT_data_BN118.csv	1957		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure6	reproducibility/figure6/data/Source data_Fig6b_string_annotations.txt	uploaded	data/reproducibility/figure6/data/Source data_Fig6b_string_annotations.txt	96618		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure6	reproducibility/figure6/data/Source data_Fig6b_string_interactions.csv	uploaded	data/reproducibility/figure6/data/Source data_Fig6b_string_interactions.csv	584		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure6	reproducibility/figure6/data/Source data_Fig6b_string_output.pdf	uploaded	data/reproducibility/figure6/data/Source data_Fig6b_string_output.pdf	100591		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure6h	reproducibility/figure6/data/wb_correlation/260725 WB_corrected_data_with Ponceau.csv	uploaded	data/reproducibility/figure6/data/wb_correlation/260725 WB_corrected_data_with Ponceau.csv	5478		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure6h	reproducibility/figure6/data/wb_correlation/raw_counts_260310.csv	uploaded	data/reproducibility/figure6/data/wb_correlation/raw_counts_260310.csv	2746076		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure6h	reproducibility/figure6/data/wb_correlation/vmpa_wb_correlations/vmpa_glioma_n250_none_unique_FALSE_raw_result.csv	uploaded	data/reproducibility/figure6/data/wb_correlation/vmpa_wb_correlations/vmpa_glioma_n250_none_unique_FALSE_raw_result.csv	923528		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure6h_6i	reproducibility/figure6/data/wb_correlation/vmpa_wb_correlations/vmpa_glioma_n250_sample_pop_sd_unique_FALSE_raw_result.csv	uploaded	data/reproducibility/figure6/data/wb_correlation/vmpa_wb_correlations/vmpa_glioma_n250_sample_pop_sd_unique_FALSE_raw_result.csv	885862		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure6h	reproducibility/figure6/data/wb_correlation/vmpa_wb_correlations/vmpa_glioma_n250_sample_z_unique_FALSE_raw_result.csv	uploaded	data/reproducibility/figure6/data/wb_correlation/vmpa_wb_correlations/vmpa_glioma_n250_sample_z_unique_FALSE_raw_result.csv	885811		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure6h	reproducibility/figure6/data/wb_correlation/vmpa_wb_correlations/vmpa_glioma_n250_signature_z_unique_FALSE_raw_result.csv	uploaded	data/reproducibility/figure6/data/wb_correlation/vmpa_wb_correlations/vmpa_glioma_n250_signature_z_unique_FALSE_raw_result.csv	886199		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure6j	reproducibility/figure6/data/apoptosis_pathway/COMPASS_glioma_protivity_GSVA_scores_sample_wise_population_sd.csv	uploaded	data/reproducibility/figure6/data/apoptosis_pathway/COMPASS_glioma_protivity_GSVA_scores_sample_wise_population_sd.csv	852386		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure6j	reproducibility/figure6/data/apoptosis_pathway/SigComLINCS_CRISPR_bottom300_GSVA_scores_sample_wise_population_sd.csv	uploaded	data/reproducibility/figure6/data/apoptosis_pathway/SigComLINCS_CRISPR_bottom300_GSVA_scores_sample_wise_population_sd.csv	1653631		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
figure6l_6n	reproducibility/figure6/data/caspase_dapi_response/source_data_well_summed_BN118R_BN91R.csv	uploaded	data/reproducibility/figure6/data/caspase_dapi_response/source_data_well_summed_BN118R_BN91R.csv	7835		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
supplementary_figure4	reproducibility/supplementary_figure4/data/matched_family_benchmark/compass_effect_threshold_sets_matched_values_wide.csv	uploaded	data/reproducibility/supplementary_figure4/data/matched_family_benchmark/compass_effect_threshold_sets_matched_values_wide.csv	191355		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
supplementary_figure4	reproducibility/supplementary_figure4/data/matched_family_benchmark/compass_effect_threshold_sets_compass_sigcom_per_family_permutation_results.csv	uploaded	data/reproducibility/supplementary_figure4/data/matched_family_benchmark/compass_effect_threshold_sets_compass_sigcom_per_family_permutation_results.csv	258408		TODO_FIGSHARE_FILE_URL	Uploaded by FTP to the Figshare private share data folder.
